study,replicate,Title,Year,Author Names,Class,Order,Group,Species,MatOff_Same,Treatment Group,Number of Age Classes,B_Source,Linear Model?,DataType,Lab / Field,PAC,PAC_Control,Offspring Sex,Notes,B,BSE,T,Source_T,Post-T,post-se
8,9,Strain‐specific effects of parental age on offspring in Drosophila melanogaster,2019,"Ji‐Hyeon Lee, Woong Seo, Shin‐Hae Lee,
Hye‐Yeon Lee, Kyung‐Jin Min",Insecta,Diptera,Insecta-Diptera,Drosophila melanogaster,Yes,Male-w1118-Ysire,2,3,No - Cox/LR/ANCOVA,Mean+SE,Lab,Yes,Experimental,Male,NA,-1.36178,0.03668,LastAge,NA,-1.36178,0.03668
8,10,Strain‐specific effects of parental age on offspring in Drosophila melanogaster,2019,"Ji‐Hyeon Lee, Woong Seo, Shin‐Hae Lee,
Hye‐Yeon Lee, Kyung‐Jin Min",Insecta,Diptera,Insecta-Diptera,Drosophila melanogaster,Yes,Female-w1118-Ysire,2,3,No - Cox/LR/ANCOVA,Mean+SE,Lab,Yes,Experimental,Female,NA,-1.5423,0.03604,LastAge,NA,-1.5423,0.03604
8,11,Strain‐specific effects of parental age on offspring in Drosophila melanogaster,2019,"Ji‐Hyeon Lee, Woong Seo, Shin‐Hae Lee,
Hye‐Yeon Lee, Kyung‐Jin Min",Insecta,Diptera,Insecta-Diptera,Drosophila melanogaster,Yes,Male-w1118-Osire,2,3,No - Cox/LR/ANCOVA,Mean+SE,Lab,Yes,Experimental,Male,NA,-0.17292,0.03269,LastAge,NA,-0.17292,0.03269
8,12,Strain‐specific effects of parental age on offspring in Drosophila melanogaster,2019,"Ji‐Hyeon Lee, Woong Seo, Shin‐Hae Lee,
Hye‐Yeon Lee, Kyung‐Jin Min",Insecta,Diptera,Insecta-Diptera,Drosophila melanogaster,Yes,Female-w1118-Osire,2,3,No - Cox/LR/ANCOVA,Mean+SE,Lab,Yes,Experimental,Female,NA,-0.06167,0.01954,LastAge,NA,-0.06167,0.01954
9,1,Maternal age effects on longevity in Drosophila melanogaster populations of different origin,2008,"M. Yılmaz, E. D. Özsoy & A. N. Bozcuk ",Insecta,Diptera,Insecta-Diptera,Drosophila melanogaster,No - changed,Kerpe♀ C,4,3,No - Gompertz,Mean+SE,Lab,Yes,Experimental,Female,NA,-0.23805,0.04516,LastAge,NA,-0.39428,0.15147
9,2,Maternal age effects on longevity in Drosophila melanogaster populations of different origin,2008,"M. Yılmaz, E. D. Özsoy & A. N. Bozcuk ",Insecta,Diptera,Insecta-Diptera,Drosophila melanogaster,No - changed,Kerpe♂ C,4,3,No - Gompertz,Mean+SE,Lab,Yes,Experimental,Male,NA,-0.02105,0.04597,LastAge,NA,-0.30803,0.13715
9,3,Maternal age effects on longevity in Drosophila melanogaster populations of different origin,2008,"M. Yılmaz, E. D. Özsoy & A. N. Bozcuk ",Insecta,Diptera,Insecta-Diptera,Drosophila melanogaster,No - changed,Erya man♀ B,4,3,No - Gompertz,Mean+SE,Lab,Yes,Experimental,Female,NA,0.07611,0.03417,LastAge,NA,0.38591,0.11683
9,4,Maternal age effects on longevity in Drosophila melanogaster populations of different origin,2008,"M. Yılmaz, E. D. Özsoy & A. N. Bozcuk ",Insecta,Diptera,Insecta-Diptera,Drosophila melanogaster,No - changed,Eryam an♂ B,4,3,No - Gompertz,Mean+SE,Lab,Yes,Experimental,Male,NA,-0.21293,0.04153,LastAge,NA,-0.24181,0.13633
9,5,Maternal age effects on longevity in Drosophila melanogaster populations of different origin,2008,"M. Yılmaz, E. D. Özsoy & A. N. Bozcuk ",Insecta,Diptera,Insecta-Diptera,Drosophila melanogaster,No - changed,Giresun♀ A,4,3,No - Gompertz,Mean+SE,Lab,Yes,Experimental,Female,NA,0.10782,0.04424,LastAge,NA,0.11635,0.14323
9,6,Maternal age effects on longevity in Drosophila melanogaster populations of different origin,2008,"M. Yılmaz, E. D. Özsoy & A. N. Bozcuk ",Insecta,Diptera,Insecta-Diptera,Drosophila melanogaster,No - changed,Giresun♂ A,4,3,No - Gompertz,Mean+SE,Lab,Yes,Experimental,Male,NA,-0.03279,0.04914,LastAge,NA,-0.56005,0.17221
10,1,The role of parental age effects on the evolution of aging,2002,Nicholas K. Priest  Benjamin Mackowiak  Daniel E. L. Promislow,Insecta,Diptera,Insecta-Diptera,Drosophila melanogaster,No - changed,UGA98-Outbred-Daug,5,3,No- Gompertz/ANCOVA,Graph-Mean+SE,Lab,Yes,Experimental,Female,NA,-0.1566,0.0491,LastAge,NA,-0.2249,0.2432
10,2,The role of parental age effects on the evolution of aging,2002,Nicholas K. Priest  Benjamin Mackowiak  Daniel E. L. Promislow,Insecta,Diptera,Insecta-Diptera,Drosophila melanogaster,No - changed,CantonS-Outbred-Daug,5,3,No- Gompertz/ANCOVA,Graph-Mean+SE,Lab,Yes,Experimental,Female,NA,0.0759,0.0276,LastAge,NA,-0.2769,0.1575
10,3,The role of parental age effects on the evolution of aging,2002,Nicholas K. Priest  Benjamin Mackowiak  Daniel E. L. Promislow,Insecta,Diptera,Insecta-Diptera,Drosophila melanogaster,No - changed,UGA-Outbred-Son,5,3,No- Gompertz/ANCOVA,Graph-Mean+SE,Lab,Yes,Experimental,Male,NA,-0.0655,0.0395,LastAge,NA,-0.1959,0.1484
10,4,The role of parental age effects on the evolution of aging,2002,Nicholas K. Priest  Benjamin Mackowiak  Daniel E. L. Promislow,Insecta,Diptera,Insecta-Diptera,Drosophila melanogaster,No - changed,Canton-Outbred-Son,5,3,No- Gompertz/ANCOVA,Graph-Mean+SE,Lab,Yes,Experimental,Male,NA,0.0949,0.0323,LastAge,NA,-0.545,0.1484
11,1,Maternal and paternal age effects on male antler flies: a field experiment,2022,"Angell, Christopher and Janacek, Rebecca and Rundle, Howard D",Insecta,Diptera,Insecta-Diptera,Protopiophila litigata,Yes,Young Fathers,2,2,No - survival model,Raw,Field,Yes,Experimental (Dataset Split),Male,NA,0.0682,0.098,LastAge,NA,0.0682,0.098
11,2,Maternal and paternal age effects on male antler flies: a field experiment,2022,"Angell, Christopher and Janacek, Rebecca and Rundle, Howard D",Insecta,Diptera,Insecta-Diptera,Protopiophila litigata,Yes,Old Fathers,2,2,No - survival model,Raw,Field,Yes,Experimental (Dataset Split),Male,NA,-0.1254,0.1029,LastAge,NA,-0.1254,0.1029
12,1,Maternal sexual interactions affect offspring survival and ageing,2014,"Dowling, D. K. and Williams, B. R. and Garcia-Gonzalez, F.",Insecta,Diptera,Insecta-Diptera,Drosophila melanogaster,Yes,A Baseline,2,2,No - effect size,Raw,Lab,Yes,Experimental,Male,NA,-0.3283,0.5223,LastAge,NA,-0.3283,0.5223
12,2,Maternal sexual interactions affect offspring survival and ageing,2014,"Dowling, D. K. and Williams, B. R. and Garcia-Gonzalez, F.",Insecta,Diptera,Insecta-Diptera,Drosophila melanogaster,Yes,B Precopulatory,2,2,No - effect size,Raw,Lab,Yes,Experimental,Male,NA,-0.139,0.2484,LastAge,NA,-0.139,0.2484
12,3,Maternal sexual interactions affect offspring survival and ageing,2014,"Dowling, D. K. and Williams, B. R. and Garcia-Gonzalez, F.",Insecta,Diptera,Insecta-Diptera,Drosophila melanogaster,Yes,C - Pre/Post,2,2,No - effect size,Raw,Lab,No,NA,Male,Treatment adds males that can age in addition to females,-0.544,0.3325,LastAge,NA,-0.544,0.3325
12,4,Maternal sexual interactions affect offspring survival and ageing,2014,"Dowling, D. K. and Williams, B. R. and Garcia-Gonzalez, F.",Insecta,Diptera,Insecta-Diptera,Drosophila melanogaster,Yes,A Baseline,2,2,No - effect size,Raw,Lab,Yes,Experimental,Female,NA,0.3607,0.3863,LastAge,NA,0.3607,0.3863
12,5,Maternal sexual interactions affect offspring survival and ageing,2014,"Dowling, D. K. and Williams, B. R. and Garcia-Gonzalez, F.",Insecta,Diptera,Insecta-Diptera,Drosophila melanogaster,Yes,B Precopulatory,2,2,No - effect size,Raw,Lab,Yes,Experimental,Female,NA,0.1925,0.2546,LastAge,NA,0.1925,0.2546
12,6,Maternal sexual interactions affect offspring survival and ageing,2014,"Dowling, D. K. and Williams, B. R. and Garcia-Gonzalez, F.",Insecta,Diptera,Insecta-Diptera,Drosophila melanogaster,Yes,C - Pre/Post,2,2,No - effect size,Raw,Lab,No,NA,Female,Treatment adds males that can age in addition to females,0.1202,0.2593,LastAge,NA,0.1202,0.2593
13,1,Disentangling Pre- and Postnatal Maternal Age Effects on Offspring Performance in an Insect with Elaborate Maternal Care,2018,"Ivimey-Cook, Edward and Moorad, Jacob",Insecta,Coleoptera,Insecta-Coleoptera,Nicrophorus vespilloides,Yes,Egg Producer Age,4,1,Yes - Linear,Table,Lab,Yes,Experimental,Combined_Other,NA,-0.075,0.112,Last Age,Terminal egg age with care fixed at 2,0.8483,1.1059
13,2,Disentangling Pre- and Postnatal Maternal Age Effects on Offspring Performance in an Insect with Elaborate Maternal Care,2018,"Ivimey-Cook, Edward and Moorad, Jacob",Insecta,Coleoptera,Insecta-Coleoptera,Nicrophorus vespilloides,Yes,Carer Age,4,1,Yes - Linear,Table,Lab,Yes,Experimental,Combined_Other,NA,0.001,0.124,Last Age,Terminal care age with egg fixed at 2,-0.1609,0.7766
14,1,Aging in the nematode Caenorhabditis elegans: Major biological and environmental factors influencing life span,1977,"Klass, Michael R.",Chromadorea,Rhabditida,Chromadorea-Rhabditida,Caenorhabditis elegans,Yes,Parental age,7,3,No - sign test,Mean+CI,Lab,No,NA,Combined_Other,zero time is time of hatching (1-7 is adult or 3-9). ,-0.1214,0.1677,LastAge,NA,-1.2005,1.8987
15,1,Heterogenous effects of father and mother age on offspring development,2021,"Noguera, Jos√© Carlos",Insecta,Orthoptera,Insecta-Orthoptera,Gryllus bimaculatus,Yes,Young Fathers,2,3,No Cateogrical,Graph Means+SE,Lab,Yes,Experimental (Dataset Split),Combined_Other,NA,-0.3403,0.1317,LastAge,NA,-0.3403,0.1317
15,2,Heterogenous effects of father and mother age on offspring development,2021,"Noguera, Jos√© Carlos",Insecta,Orthoptera,Insecta-Orthoptera,Gryllus bimaculatus,Yes,Old Fathers,2,3,No Cateogrical,Graph Means+SE,Lab,Yes,Experimental (Dataset Split),Combined_Other,NA,-0.3234,0.1036,LastAge,NA,-0.3234,0.1036
16,1,"Influence of maternal age on the fitness of progeny in the rice weevil, Sitophilus oryzae (Coleoptera: Curculionidae)",2007,"Opit, G. P. and Throne, J. E.",Insecta,Coleoptera,Insecta-Coleoptera,Sitophilus oryzae,No - changed,Maternal Age,3,3,No,Mean+SE,Lab,Yes,Experimental,Female,NA,-0.51415,0.14032,LastAge,NA,-0.68024,0.22442
17,1,Effects of maternal age and environment on offspring vital rates in the oleander aphid (Hemiptera: Aphididae),2007,"Zehnder, C. B. and Parris, M. A. and Hunter, M. D.",Insecta,Hemiptera,Insecta-Hemiptera,Aphis nerii,Yes,Maternal Age,3,3,No,Graph Means+SE,Lab,Yes,Parthonogensis,Female,NA,-0.201,0.0674,LastAge,NA,0.0131,0.1349
18,1,Sex-specific pathways of parental age effects on offspring lifetime reproductive success in a long-lived seabird,2015,"Bouwhuis, S. and Vedder, O. and Becker, P. H.",Aves,Charadriformes,Aves-Charadriformes,Sterna hirundo,Yes,Male Offspring,18,2,No - Interaction,Raw,Field,No,NA,Male,within and between (average/delta) taken delta),-0.3275,0.1524,10,Saether 2013,-0.0996,0.2741
18,2,Sex-specific pathways of parental age effects on offspring lifetime reproductive success in a long-lived seabird,2015,"Bouwhuis, S. and Vedder, O. and Becker, P. H.",Aves,Charadriformes,Aves-Charadriformes,Sterna hirundo,Yes,Female offspring,16,2,No - Interaction,Raw,Field,No,NA,Female,within and between (average/delta) taken delta),-0.2462,0.2296,10,Saether 2013,-0.6302,0.5583
19,1,"Effects of Parental Age on the Life Cycle of the Southern Green Stink Bug, Nezara viridula L. (Heteroptera : Pentatomidae)",1967,"Keizi KIRITANI, Katutiyo KIMURA",Insecta,Hemiptera,Insecta-Hemiptera,Nezara viridula,No - changed,Male,4,3,No,Mean+SE,Lab,No,NA,Male,NA,-0.8744,0.1495,LastAge,NA,-0.0302,0.5862
19,2,"Effects of Parental Age on the Life Cycle of the Southern Green Stink Bug, Nezara viridula L. (Heteroptera : Pentatomidae)",1967,"Keizi KIRITANI, Katutiyo KIMURA",Insecta,Hemiptera,Insecta-Hemiptera,Nezara viridula,No - changed,Female,4,3,No,Mean+SE,Lab,No,NA,Female,NA,-0.8443,0.1591,LastAge,NA,-1.0608,0.9445
20,1,"Effects of Temperature and Parental Age on the Life Cycle of the Dark Mealworm, Tenebrio obscurus Fabricius",1960,Carl Fiore,Insecta,Coleoptera,Insecta-Coleoptera,Tenebrio obscurus,Yes,20,4,3,No,Mean+SE,Lab,No,NA,Combined_Other,NA,0.0622,0.078,LastAge,NA,0.0845,0.1887
20,2,"Effects of Temperature and Parental Age on the Life Cycle of the Dark Mealworm, Tenebrio obscurus Fabricius",1960,Carl Fiore,Insecta,Coleoptera,Insecta-Coleoptera,Tenebrio obscurus,Yes,25,4,3,No,Mean+SE,Lab,No,NA,Combined_Other,NA,-0.3194,0.1301,LastAge,NA,-0.4217,0.2041
20,3,"Effects of Temperature and Parental Age on the Life Cycle of the Dark Mealworm, Tenebrio obscurus Fabricius",1960,Carl Fiore,Insecta,Coleoptera,Insecta-Coleoptera,Tenebrio obscurus,Yes,30,4,3,No,Mean+SE,Lab,No,NA,Combined_Other,NA,-0.001,0.031,LastAge,NA,-0.0707,0.0529
21,1,Human Longevity and Parental Age at Conception,2000,Gavrilov and Gavrilova,Mammalia,Primates,Mammalia-Primates,Homo sapiens,Yes,Male,NA,1,Yes - Linear,Table,Human,Yes,Statistically,Male,No terminal,0.03,0.04,NA,No terminal,NA,NA
21,2,Human Longevity and Parental Age at Conception,2000,Gavrilov and Gavrilova,Mammalia,Primates,Mammalia-Primates,Homo sapiens,Yes,Female,NA,1,Yes - Linear,Table,Human,Yes,Statistically,Female,No terminal,0.02,0.06,NA,No terminal,NA,NA
22,1,Older mothers produce more successful daughters ,2020,Kroeger,Mammalia,Rodentia,Mammalia-Rodentia,Marmota flaviventris,Yes,dv,12,2,No - Interaction,Raw,Field,No,NA,Female,NA,0.4492,0.221,NA,No terminal as no mean to unscale,NA,NA
22,2,Older mothers produce more successful daughters ,2020,Kroeger,Mammalia,Rodentia,Mammalia-Rodentia,Marmota flaviventris,Yes,uv,12,2,No - Interaction,Raw,Field,No,NA,Female,NA,0.0484,0.2704,NA,No terminal as no mean to unscale,NA,NA